section,set,number_in_set,question,answer
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,10,berat,heavy; weight
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,11,berdampak,to have an impact
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,12,berpuasa,"to fast, to abstain from food & drink"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,13,bersalah,guilty
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,14,bersamaan,at the same time
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,15,bersepeda,"to cycle, cycling"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,16,bersih,clean
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,17,bola,ball
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,18,buah-buahan,fruits (several varieties)
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,19,"buang, membuang",to throw away
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,20,definisi,definition
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,21,dewasa,adult
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,22,diadakan,to be held/conducted
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,23,dihindari,"to be avoided, to be prevented"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,24,dijuluki,to be nicknamed
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,25,dikatakan,to be said
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,26,dikenal,to be known
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,27,dini,early
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,28,dioperasikan,to be operated
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,29,disalahkan,to be blamed
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,30,disarankan,to be suggested
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,31,disebut,"to be called, to be named (for non-human)"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,32,ditandai,to be marked
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,33,ditangani,to be handled
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,34,ditimbulkan,"to be caused to emerge, to be brought forth"
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,35,ditutup,to be closed
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,36,energi,energy
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,37,gas,gas
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,38,gubernur,governor
BI SLE Vocabulary,BI SLE Vocabulary - Set 4,39,gula,sugar
